full_name,full_url,was_top_75,last_year_played,num_all_stars,max_games_started,total_games_started
James Worthy,https://www.basketball-reference.com/players/w/worthja01.html,1,1994,7,82,717
Dominique Wilkins,https://www.basketball-reference.com/players/w/wilkido01.html,1,1999,9,82,1069
Lenny Wilkens,https://www.basketball-reference.com/players/w/wilkele01.html,1,1975,9,0,0
Russell Westbrook,https://www.basketball-reference.com/players/w/westbru01.html,1,2025,9,82,1099
Jerry West,https://www.basketball-reference.com/players/w/westje01.html,1,1974,14,0,0
Bill Walton,https://www.basketball-reference.com/players/w/waltobi01.html,1,1988,2,46,117
Dwyane Wade,https://www.basketball-reference.com/players/w/wadedw01.html,1,2019,13,79,912
Wes Unseld,https://www.basketball-reference.com/players/u/unselwe01.html,1,1981,5,82,164
Nate Thurmond,https://www.basketball-reference.com/players/t/thurmna01.html,1,1977,7,9,9
Isiah Thomas,https://www.basketball-reference.com/players/t/thomais01.html,1,1994,12,82,971
John Stockton,https://www.basketball-reference.com/players/s/stockjo01.html,1,2003,10,82,1300
Bill Sharman,https://www.basketball-reference.com/players/s/sharmbi01.html,1,1961,8,0,0
Dolph Schayes,https://www.basketball-reference.com/players/s/schaydo01.html,1,1964,12,0,0
Bill Russell,https://www.basketball-reference.com/players/r/russebi01.html,1,1969,12,0,0
Dennis Rodman,https://www.basketball-reference.com/players/r/rodmade01.html,1,2000,2,80,573
David Robinson,https://www.basketball-reference.com/players/r/robinda01.html,1,2003,10,82,985
Oscar Robertson,https://www.basketball-reference.com/players/r/roberos01.html,1,1974,12,0,0
Willis Reed,https://www.basketball-reference.com/players/r/reedwi01.html,1,1975,7,0,0
Scottie Pippen,https://www.basketball-reference.com/players/p/pippesc01.html,1,2004,7,82,1053
Paul Pierce,https://www.basketball-reference.com/players/p/piercpa01.html,1,2017,10,82,1285
Bob Pettit,https://www.basketball-reference.com/players/p/pettibo01.html,1,1965,11,0,0
Gary Payton,https://www.basketball-reference.com/players/p/paytoga01.html,1,2007,9,82,1313
Chris Paul,https://www.basketball-reference.com/players/p/paulch01.html,1,2025,12,82,1314
Robert Parish,https://www.basketball-reference.com/players/p/parisro01.html,1,1997,9,82,1138
Hakeem Olajuwon,https://www.basketball-reference.com/players/o/olajuha01.html,1,2002,12,82,1186
Shaquille O'Neal,https://www.basketball-reference.com/players/o/onealsh01.html,1,2011,15,81,1258
Dirk Nowitzki,https://www.basketball-reference.com/players/n/nowitdi01.html,1,2019,14,82,1460
Steve Nash,https://www.basketball-reference.com/players/n/nashst01.html,1,2014,8,82,1053
Earl Monroe,https://www.basketball-reference.com/players/m/monroea01.html,1,1980,4,0,0
Reggie Miller,https://www.basketball-reference.com/players/m/millere01.html,1,2005,5,82,1304
Kevin McHale,https://www.basketball-reference.com/players/m/mchalke01.html,1,1993,7,77,400
Bob McAdoo,https://www.basketball-reference.com/players/m/mcadobo01.html,1,1993,5,1,1
Pete Maravich,https://www.basketball-reference.com/players/m/maravpe01.html,1,1980,5,4,8
Moses Malone,https://www.basketball-reference.com/players/m/malonmo01.html,1,1995,13,82,948
Karl Malone,https://www.basketball-reference.com/players/m/malonka01.html,1,2004,14,82,1471
Jerry Lucas,https://www.basketball-reference.com/players/l/lucasje01.html,1,1974,7,0,0
Damian Lillard,https://www.basketball-reference.com/players/l/lillada01.html,1,2025,9,82,900
Kawhi Leonard,https://www.basketball-reference.com/players/l/leonaka01.html,1,2025,6,74,704
Jason Kidd,https://www.basketball-reference.com/players/k/kiddja01.html,1,2013,10,82,1475
Michael Jordan,https://www.basketball-reference.com/players/j/jordami01.html,1,2003,14,82,1039
Sam Jones,https://www.basketball-reference.com/players/j/jonessa01.html,1,1969,5,0,0
Magic Johnson,https://www.basketball-reference.com/players/j/johnsma02.html,1,1996,12,80,763
LeBron James,https://www.basketball-reference.com/players/j/jamesle01.html,1,2025,21,82,1560
Allen Iverson,https://www.basketball-reference.com/players/i/iversal01.html,1,2011,11,82,1042
Elvin Hayes,https://www.basketball-reference.com/players/h/hayesel01.html,1,1984,12,82,129
John Havlicek,https://www.basketball-reference.com/players/h/havlijo01.html,1,1978,13,0,0
James Harden,https://www.basketball-reference.com/players/h/hardeja01.html,1,2025,11,82,1045
Hal Greer,https://www.basketball-reference.com/players/g/greerha01.html,1,1973,10,69,138
George Gervin,https://www.basketball-reference.com/players/g/gervige01.html,1,1987,12,82,623
Kevin Garnett,https://www.basketball-reference.com/players/g/garneke01.html,1,2016,15,82,1472
Walt Frazier,https://www.basketball-reference.com/players/f/fraziwa01.html,1,1980,7,0,0
Patrick Ewing,https://www.basketball-reference.com/players/e/ewingpa01.html,1,2002,11,82,1122
Julius Erving,https://www.basketball-reference.com/players/e/ervinju01.html,1,1987,16,82,823
Kevin Durant,https://www.basketball-reference.com/players/d/duranke01.html,1,2025,15,82,1167
Tim Duncan,https://www.basketball-reference.com/players/d/duncati01.html,1,2016,15,82,1389
Clyde Drexler,https://www.basketball-reference.com/players/d/drexlcl01.html,1,1998,10,82,1025
Dave DeBusschere,https://www.basketball-reference.com/players/d/debusda01.html,1,1974,8,0,0
Anthony Davis,https://www.basketball-reference.com/players/d/davisan02.html,1,2025,10,76,831
Stephen Curry,https://www.basketball-reference.com/players/c/curryst01.html,1,2025,11,80,1020
Billy Cunningham,https://www.basketball-reference.com/players/c/cunnibi01.html,1,1976,5,80,248
Dave Cowens,https://www.basketball-reference.com/players/c/cowenda01.html,1,1983,8,55,89
Bob Cousy,https://www.basketball-reference.com/players/c/cousybo01.html,1,1970,13,0,0
Wilt Chamberlain,https://www.basketball-reference.com/players/c/chambwi01.html,1,1974,13,0,0
